County,Pop,BelowPov
"Atlantic County, New Jersey",260341,34691
"Bergen County, New Jersey",920046,61205
"Burlington County, New Jersey",433739,26671
"Camden County, New Jersey",499985,61187
"Cape May County, New Jersey",90966,8878
"Cumberland County, New Jersey",139782,23051
"Essex County, New Jersey",775667,122569
"Gloucester County, New Jersey",287224,21340
"Hudson County, New Jersey",661581,100869
"Hunterdon County, New Jersey",121059,5474
"Mercer County, New Jersey",351928,40980
"Middlesex County, New Jersey",796788,67683
"Monmouth County, New Jersey",615903,42734
"Morris County, New Jersey",486112,23212
"Ocean County, New Jersey",589122,59463
"Passaic County, New Jersey",496049,77841
"Salem County, New Jersey",61648,7651
"Somerset County, New Jersey",326314,16762
"Sussex County, New Jersey",140194,6920
"Union County, New Jersey",547480,52015
"Warren County, New Jersey",104274,7885
